BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
2456,4181138,2456,Brick 2 x 6,5,4,Red,Solid Colors,6,3.74
2462,4189116,2462,"Brick, Modified Facet 3 x 3",11,0,Black,Solid Colors,8,1.46
2462,4582257,2462,"Brick, Modified Facet 3 x 3",85,72,Dark Bluish Gray,Solid Colors,8,1.46
2465,4264963,2465,Brick 1 x 16,3,14,Yellow,Solid Colors,1,6.2
2465,246501,2465,Brick 1 x 16,1,15,White,Solid Colors,1,6.2
2465,246521,2465,Brick 1 x 16,5,4,Red,Solid Colors,14,6.2
25269,6228968,25269,"Tile, Round 1 x 1 Quarter",68,484,Dark Orange,Solid Colors,10,0.1
26047,6157554,26047,"Plate, Round 1 x 1 with Bar Handle on Side",11,0,Black,Solid Colors,24,0.3
26047,,26047,"Plate, Round 1 x 1 with Bar Handle on Side",5,4,Red,Solid Colors,2,0.3
2654,4278274,2654,"Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)",85,72,Dark Bluish Gray,Solid Colors,2,0.45
2654,6171733,2654,"Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)",15,43,Trans-Light Blue,Transparent Colors,1,0.45
2654,4278359,2654,"Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)",11,0,Black,Solid Colors,8,0.45
26601,6164073,26601,"Wedge, Plate 2 x 2 Cut Corner",85,72,Dark Bluish Gray,Solid Colors,4,0.5
26601,6174243,26601,"Wedge, Plate 2 x 2 Cut Corner",11,0,Black,Solid Colors,59,0.5
26603,6187008,26603,Tile 2 x 3,85,72,Dark Bluish Gray,Solid Colors,2,0.68
26603,6162892,26603,Tile 2 x 3,11,0,Black,Solid Colors,12,0.68
27263,6253425,27263,"Tile, Modified Facet 2 x 2 Corner with Cut Corner",68,484,Dark Orange,Solid Colors,4,0.33
2730,273021,2730,"Technic, Brick 1 x 10 with Holes",5,4,Red,Solid Colors,10,3.67
2780,6279875,2780,"Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center Slots",11,0,Black,Solid Colors,8,0.16
2780,,2780,"Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center Slots",5,4,Red,Solid Colors,198,0.16
28192,6168776,28192,Slope 45 2 x 1 with Cutout without Stud,85,72,Dark Bluish Gray,Solid Colors,2,0.41
28192,6275178,28192,Slope 45 2 x 1 with Cutout without Stud,5,4,Red,Solid Colors,2,0
